"professor","query","rank","result_count","top5","top10","results"
"최한경","생체리듬","1","1","PASS","PASS","최한경"
"최한경","일주기 리듬","1","1","PASS","PASS","최한경"
"최한경","circadian rhythm","1","1","PASS","PASS","최한경"
"최한경","일주기 행동","1","1","PASS","PASS","최한경"
"최한경","사회행동","1","3","PASS","PASS","최한경|이효상|김규형"
"최한경","social behavior","1","3","PASS","PASS","최한경|이효상|김규형"
"최한경","사회학습","1","4","PASS","PASS","최한경|박포정|현정호|이광"
"최한경","social learning","2","4","PASS","PASS","박포정|최한경|현정호|이광"
"최한경","감각정보처리","1","4","PASS","PASS","최한경|문제일|김규형|이효상"
"최한경","행동 신경과학","1","2","PASS","PASS","최한경|현정호"
"최한경","animal behavior","1","1","PASS","PASS","최한경"
"최한경","신경회로 조절","1","10","PASS","PASS","최한경|이광|김규형|고재원|김민환|백명인|이효상|현정호|오용석|엄지원"
"고재원","시냅스","1","5","PASS","PASS","고재원|엄지원|김민환|박포정|서병창"
"고재원","synapse","1","5","PASS","PASS","고재원|엄지원|김민환|서병창|박포정"
"고재원","시냅스 형성","1","5","PASS","PASS","고재원|박포정|엄지원|김민환|서병창"
"고재원","시냅스 기능","1","5","PASS","PASS","고재원|박포정|엄지원|김민환|서병창"
"고재원","시냅스 접착분자","1","5","PASS","PASS","고재원|박포정|엄지원|김민환|서병창"
"고재원","synaptic adhesion","1","1","PASS","PASS","고재원"
"고재원","신경회로","1","10","PASS","PASS","고재원|이광|김규형|김민환|이효상|백명인|최한경|오용석|현정호|엄지원"
"고재원","neural circuit","3","10","PASS","PASS","김규형|이광|고재원|김민환|백명인|이효상|현정호|최한경|오용석|엄지원"
"고재원","자폐 스펙트럼","1","2","PASS","PASS","고재원|엄지원"
"고재원","autism","1","2","PASS","PASS","고재원|엄지원"
"고재원","신경회로병증","1","10","PASS","PASS","고재원|이광|김규형|김민환|백명인|이효상|현정호|최한경|오용석|엄지원"
"김규형","신경행동","1","3","PASS","PASS","김규형|최한경|이효상"
"김규형","neurobehavior","1","3","PASS","PASS","김규형|최한경|이효상"
"김규형","신경회로","3","10","PASS","PASS","고재원|이광|김규형|김민환|이효상|백명인|최한경|오용석|현정호|엄지원"
"김규형","neural circuit","1","10","PASS","PASS","김규형|이광|고재원|김민환|백명인|이효상|현정호|최한경|오용석|엄지원"
"김규형","신경발생","2","2","PASS","PASS","백명인|김규형"
"김규형","neurodevelopment","2","2","PASS","PASS","백명인|김규형"
"김규형","신경유전학","1","1","PASS","PASS","김규형"
"김규형","neurogenetics","1","1","PASS","PASS","김규형"
"김규형","예쁜꼬마선충","1","1","PASS","PASS","김규형"
"김규형","C. elegans","1","1","PASS","PASS","김규형"
"김규형","화학감각","2","2","PASS","PASS","문제일|김규형"
"김규형","chemosensation","1","1","PASS","PASS","김규형"
"김규형","페로몬","1","1","PASS","PASS","김규형"
"김규형","pheromone","1","1","PASS","PASS","김규형"
"김규형","고유수용감각","1","1","PASS","PASS","김규형"
"김규형","proprioception","1","1","PASS","PASS","김규형"
