"교수명","직접 검색어","해당 교수 순위","상위 3명","상위 5명","결과 수","포함 여부"
"권혁준","반도체 소자","1","권혁준 | 장재은 | 최상현","권혁준 | 장재은 | 최상현 | 이병문","4","Y"
"권혁준","반도체 공정","1","권혁준 | 최상현 | 장재은","권혁준 | 최상현 | 장재은 | 이병문","4","Y"
"권혁준","semiconductor device","1","권혁준 | 최상현 | 장재은","권혁준 | 최상현 | 장재은 | 이병문","4","Y"
"권혁준","semiconductor fabrication","1","권혁준 | 최상현 | 장재은","권혁준 | 최상현 | 장재은 | 이병문","4","Y"
"권혁준","레이저 반도체 공정","1","권혁준 | 최상현 | 장재은","권혁준 | 최상현 | 장재은 | 이병문","4","Y"
"권혁준","laser fabrication","1","권혁준","권혁준","1","Y"
"권혁준","산화물 반도체","1","권혁준 | 최상현 | 장재은","권혁준 | 최상현 | 장재은 | 이병문","4","Y"
"권혁준","oxide semiconductor","1","권혁준","권혁준","1","Y"
"권혁준","유연 전자소자","1","권혁준 | 이병문","권혁준 | 이병문","2","Y"
"권혁준","flexible electronics","1","권혁준 | 이병문","권혁준 | 이병문","2","Y"
"권혁준","AI 소자","1","권혁준 | 목지수 | 박대희","권혁준 | 목지수 | 박대희 | 배인환 | 소진현","10","Y"
"권혁준","ai device","1","권혁준 | 목지수 | 박대희","권혁준 | 목지수 | 박대희 | 소진현 | 배인환","10","Y"
"길현재","HCI","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","UX","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","사용자 경험","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","human computer interaction","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","user experience","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","VR","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","AR","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","가상현실","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","증강현실","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","멀티센서리 인터랙션","1","길현재","길현재","1","Y"
"길현재","multisensory interaction","1","길현재","길현재","1","Y"
"길현재","햅틱","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"길현재","haptics","1","길현재 | 김선준","길현재 | 김선준","2","Y"
"김가인","회로설계","2","이정협 | 김가인 | 송민영","이정협 | 김가인 | 송민영 | 윤종혁 | 이경태","5","Y"
"김가인","아날로그 회로","2","이정협 | 김가인 | 송민영","이정협 | 김가인 | 송민영 | 윤종혁 | 이경태","5","Y"
"김가인","analog circuit","1","김가인 | 송민영 | 이정협","김가인 | 송민영 | 이정협 | 윤종혁 | 이경태","5","Y"
"김가인","혼성신호 회로","1","김가인 | 이정협 | 윤종혁","김가인 | 이정협 | 윤종혁 | 송민영 | 이경태","5","Y"
"김가인","mixed signal circuit","1","김가인 | 윤종혁 | 송민영","김가인 | 윤종혁 | 송민영 | 이정협 | 이경태","5","Y"
"김가인","집적회로","3","윤종혁 | 이정협 | 김가인","윤종혁 | 이정협 | 김가인 | 송민영 | 이경태","5","Y"
"김가인","IC design","2","이정협 | 김가인 | 송민영","이정협 | 김가인 | 송민영 | 윤종혁 | 이경태","5","Y"
"김가인","통신 회로","1","김가인 | 최지웅 | 서대원","김가인 | 최지웅 | 서대원 | 송민영 | 신동훈","6","Y"
"김가인","communication circuit","1","김가인 | 이정협","김가인 | 이정협","2","Y"
"김가인","고속 유선 트랜시버","1","김가인","김가인","1","Y"
"김가인","wireline transceiver","1","김가인","김가인","1","Y"
"김가인","SerDes","1","김가인 | 이정협 | 송민영","김가인 | 이정협 | 송민영 | 윤종혁 | 이경태","5","Y"
"김가인","ADC","2","이정협 | 김가인 | 송민영","이정협 | 김가인 | 송민영 | 윤종혁 | 이경태","5","Y"
"김가인","멀티칩 하드웨어 가속기","1","김가인","김가인","1","Y"
"김가인","hardware accelerator","1","김가인","김가인","1","Y"
"김경대","자율시스템","1","김경대 | 박대희 | 김백규","김경대 | 박대희 | 김백규 | 은용순 | 박경준","5","Y"
"김경대","autonomous system","1","김경대 | 박대희 | 은용순","김경대 | 박대희 | 은용순 | 박경준 | 김백규","5","Y"
"김경대","자율 시스템 계획","1","김경대 | 박대희 | 은용순","김경대 | 박대희 | 은용순 | 박경준 | 김백규","5","Y"
"김경대","planning of autonomous systems","1","김경대 | 박대희 | 은용순","김경대 | 박대희 | 은용순 | 박경준 | 김백규","5","Y"
"김경대","자율 시스템 제어","1","김경대 | 은용순 | 박경준","김경대 | 은용순 | 박경준 | 박대희 | 김백규","5","Y"
"김경대","control of autonomous systems","1","김경대 | 박대희 | 은용순","김경대 | 박대희 | 은용순 | 박경준 | 김백규","5","Y"
"김경대","경로 계획","1","김경대","김경대","1","Y"
"김경대","path planning","1","김경대 | 박대희 | 은용순","김경대 | 박대희 | 은용순 | 박경준 | 김백규","5","Y"
"김경대","의사결정","1","김경대 | 박대희","김경대 | 박대희","2","Y"
"김경대","decision making","1","김경대 | 박대희","김경대 | 박대희","2","Y"
"김기섭","AI for software engineering","1","김기섭 | 전민석","김기섭 | 전민석","2","Y"
"김기섭","소프트웨어공학 AI","1","김기섭 | 전민석","김기섭 | 전민석","2","Y"
"김기섭","software engineering for AI","1","김기섭 | 전민석","김기섭 | 전민석","2","Y"
"김기섭","AI 소프트웨어공학","1","김기섭 | 전민석","김기섭 | 전민석","2","Y"
"김기섭","멀티에이전트 시스템","1","김기섭","김기섭","1","Y"
"김기섭","multi agent systems","1","김기섭","김기섭","1","Y"
"김기섭","소프트웨어 분석","1","김기섭 | 전민석","김기섭 | 전민석","2","Y"
"김기섭","software analytics","1","김기섭","김기섭","1","Y"
"김기섭","LLM 소프트웨어","1","김기섭 | 목지수 | 박대희","김기섭 | 목지수 | 박대희 | 배인환 | 윤성훈","7","Y"
"김기섭","대규모 언어모델 소프트웨어","1","김기섭 | 목지수 | 박대희","김기섭 | 목지수 | 박대희 | 배인환 | 윤성훈","7","Y"
"김백규","임베디드","1","김백규 | 좌훈승 | 박경준","김백규 | 좌훈승 | 박경준 | 송민영 | 신동훈","5","Y"
"김백규","임베디드 소프트웨어","1","김백규 | 좌훈승 | 박경준","김백규 | 좌훈승 | 박경준 | 송민영 | 신동훈","5","Y"
"김백규","embedded software","1","김백규 | 박경준 | 좌훈승","김백규 | 박경준 | 좌훈승 | 송민영 | 신동훈","5","Y"
"김백규","IoT","1","김백규 | 송민영 | 박경준","김백규 | 송민영 | 박경준 | 좌훈승 | 신동훈","5","Y"
"김백규","사물인터넷","1","김백규 | 송민영 | 박경준","김백규 | 송민영 | 박경준 | 좌훈승 | 신동훈","5","Y"
"김백규","internet of things","1","김백규 | 박경준 | 좌훈승","김백규 | 박경준 | 좌훈승 | 송민영 | 신동훈","5","Y"
"김백규","정형기법","1","김백규 | 김윤승","김백규 | 김윤승","2","Y"
"김백규","formal method","1","김백규 | 김윤승","김백규 | 김윤승","2","Y"
"김백규","소프트웨어 검증","1","김백규 | 김윤승","김백규 | 김윤승","2","Y"
"김백규","software verification","1","김백규","김백규","1","Y"
"김백규","사이버물리시스템","2","박경준 | 김백규 | 좌훈승","박경준 | 김백규 | 좌훈승 | 송민영 | 신동훈","5","Y"
"김백규","cyber physical system","1","김백규 | 박경준 | 좌훈승","김백규 | 박경준 | 좌훈승 | 송민영 | 신동훈","5","Y"
"김백규","CPS","1","김백규 | 박경준 | 좌훈승","김백규 | 박경준 | 좌훈승 | 송민영 | 신동훈","5","Y"
"김백규","자율시스템","3","김경대 | 박대희 | 김백규","김경대 | 박대희 | 김백규 | 은용순 | 박경준","5","Y"
"김선준","HCI","2","길현재 | 김선준","길현재 | 김선준","2","Y"
"김선준","human computer interaction","2","길현재 | 김선준","길현재 | 김선준","2","Y"
"김선준","스마트 입력장치","1","김선준 | 길현재","김선준 | 길현재","2","Y"
"김선준","smart input device","1","김선준","김선준","1","Y"
"김선준","텍스트 입력","1","김선준 | 길현재","김선준 | 길현재","2","Y"
"김선준","text entry","1","김선준","김선준","1","Y"
"김선준","터치스크린","1","김선준","김선준","1","Y"
"김선준","touch screen","1","김선준","김선준","1","Y"
"김선준","포인팅","1","김선준","김선준","1","Y"
"김선준","pointing","1","김선준","김선준","1","Y"
"김선준","인터랙션 디자인","1","김선준","김선준","1","Y"
"김영식","정보보안","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","보안","1","김영식 | 신동훈 | 최원석","김영식 | 신동훈 | 최원석 | 최지웅 | 박경준","5","Y"
"김영식","암호","2","최원석 | 김영식 | 신동훈","최원석 | 김영식 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","cryptography","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","응용암호","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","applied cryptography","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","양자내성암호","2","최원석 | 김영식 | 신동훈","최원석 | 김영식 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","post quantum cryptography","2","최원석 | 김영식 | 신동훈","최원석 | 김영식 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","AI 보안","1","김영식","김영식","1","Y"
"김영식","ai security","1","김영식","김영식","1","Y"
"김영식","프라이버시","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","privacy enhancing technology","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","동형암호","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","homomorphic encryption","1","김영식 | 최원석 | 신동훈","김영식 | 최원석 | 신동훈 | 박경준 | 최지웅","5","Y"
"김영식","차량 보안","1","김영식 | 최지웅 | 최원석","김영식 | 최지웅 | 최원석 | 신동훈 | 박경준","5","Y"
"김영식","vehicular security","1","김영식 | 최지웅 | 신동훈","김영식 | 최지웅 | 신동훈 | 최원석 | 박경준","5","Y"
"김윤승","정형검증","1","김윤승 | 김백규","김윤승 | 김백규","2","Y"
