professor,query,rank,result_count,top5,included_top3
곽준명,식물발달,1,2,곽준명 | 우혜련,True
곽준명,식물 발달,1,2,곽준명 | 우혜련,True
곽준명,plant development,1,2,곽준명 | 우혜련,True
곽준명,세포정밀성,1,1,곽준명,True
곽준명,cellular precision,1,1,곽준명,True
곽준명,환경응답,2,2,우혜련 | 곽준명,True
곽준명,환경 반응,1,2,곽준명 | 우혜련,True
곽준명,environmental response,1,2,곽준명 | 우혜련,True
곽준명,식물 환경응답,1,2,곽준명 | 우혜련,True
곽준명,식물 적응,1,2,곽준명 | 우혜련,True
곽준명,식물 노화,1,2,곽준명 | 우혜련,True
곽준명,plant senescence,1,2,곽준명 | 우혜련,True
곽준명,세포사,1,1,곽준명,True
곽준명,cell death,1,1,곽준명,True
곽준명,탈리,1,1,곽준명,True
곽준명,abscission,1,1,곽준명,True
우혜련,식물분자유전학,1,2,우혜련 | 곽준명,True
우혜련,plant molecular genetics,1,2,우혜련 | 곽준명,True
우혜련,식물 분자 커뮤니케이션,1,2,우혜련 | 곽준명,True
우혜련,plant molecular communication,1,2,우혜련 | 곽준명,True
우혜련,식물 신호전달,1,2,우혜련 | 곽준명,True
우혜련,plant signaling,1,2,우혜련 | 곽준명,True
우혜련,환경응답,1,2,우혜련 | 곽준명,True
우혜련,환경 스트레스,1,2,우혜련 | 곽준명,True
우혜련,environmental stress response,1,2,우혜련 | 곽준명,True
우혜련,식물 환경응답,2,2,곽준명 | 우혜련,True
우혜련,식물 노화,2,2,곽준명 | 우혜련,True
우혜련,plant senescence,2,2,곽준명 | 우혜련,True
이상임,동물생태,1,1,이상임,True
이상임,동물 생태,1,1,이상임,True
이상임,animal ecology,1,1,이상임,True
이상임,통합 동물생태학,1,1,이상임,True
이상임,integrative animal ecology,1,1,이상임,True
이상임,행동생태,1,1,이상임,True
이상임,behavioral ecology,1,1,이상임,True
이상임,인지생태,1,1,이상임,True
이상임,cognitive ecology,1,1,이상임,True
이상임,감각생태,1,1,이상임,True
이상임,sensory ecology,1,1,이상임,True
이상임,진화생태,1,1,이상임,True
이상임,evolutionary ecology,1,1,이상임,True
이상임,조류 행동,1,1,이상임,True
구재형,뇌면역,1,1,구재형,True
구재형,뇌 면역,1,1,구재형,True
구재형,brain immune axis,1,1,구재형,True
