professor,status
조창희,current_official_existing
홍정일,current_official_existing
홍선기,current_official_existing
정낙천,current_official_existing
정병혁,current_official_existing
강준구,current_official_existing
김아람,current_official_existing
김철기,current_official_added_runtime
김성균,current_official_existing
김영욱,current_official_existing
권용성,current_official_added_runtime
이재동,current_official_existing
이신범,current_official_existing
이성기,current_official_existing
이성원,current_official_existing
박진희,current_official_existing
박기성,current_official_existing
서대하,current_official_added_runtime
서정필,current_official_existing
성주영,current_official_existing
유천열,current_official_existing
서상원,current_official_existing
김종구,current_official_existing
김소연,current_official_existing
허승정,not_in_current_official_list_excluded_from_curated_search
권상일,not_in_current_official_list_excluded_from_curated_search
문혜원,not_in_current_official_list_excluded_from_curated_search
남은주,not_in_current_official_list_excluded_from_curated_search
