professor,query,rank,result_count,top5,included_top3,included_top5
조창희,광자소자,1,1,조창희,True,True
조창희,포토닉스 소자,1,1,조창희,True,True
조창희,나노포토닉스,1,1,조창희,True,True
조창희,반도체 포토닉스,1,1,조창희,True,True
조창희,미래 반도체 나노포토닉스,1,1,조창희,True,True
조창희,광자 양자정보,1,2,조창희 | 김영욱,True,True
조창희,광자 양자정보 소자,1,2,조창희 | 김영욱,True,True
조창희,photonic quantum information,1,2,조창희 | 김영욱,True,True
조창희,photonic quantum information devices,1,2,조창희 | 김영욱,True,True
조창희,light-matter interaction,1,1,조창희,True,True
조창희,광-물질 상호작용,1,2,조창희 | 김소연,True,True
조창희,optical microcavity,1,1,조창희,True,True
조창희,광공진기,1,1,조창희,True,True
조창희,nanocavity,1,1,조창희,True,True
조창희,나노공동,1,1,조창희,True,True
조창희,exciton-polariton,1,1,조창희,True,True
조창희,엑시톤 폴라리톤,1,1,조창희,True,True
조창희,quantum light source,1,1,조창희,True,True
조창희,양자광원,1,1,조창희,True,True
홍정일,스핀트로닉스,2,3,유천열 | 홍정일 | 김철기,True,True
홍정일,spintronics,2,3,유천열 | 홍정일 | 김철기,True,True
홍정일,스핀공학,1,1,홍정일,True,True
홍정일,자성박막,1,3,홍정일 | 유천열 | 김철기,True,True
홍정일,magnetic thin film,1,3,홍정일 | 유천열 | 김철기,True,True
홍정일,전기 자기 나노소재,1,1,홍정일,True,True
홍정일,electric and magnetic nanomaterial,1,1,홍정일,True,True
홍정일,교환 바이어스,1,1,홍정일,True,True
홍정일,exchange bias,1,1,홍정일,True,True
홍정일,스커미온,1,3,홍정일 | 유천열 | 김철기,True,True
홍정일,skyrmion,1,3,홍정일 | 유천열 | 김철기,True,True
홍정일,도메인월,1,3,홍정일 | 유천열 | 김철기,True,True
홍정일,domain wall,1,3,홍정일 | 유천열 | 김철기,True,True
홍정일,자기 이방성,1,1,홍정일,True,True
홍선기,생체모사 유기소재,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,bio-inspired organic materials,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,고분자 생체재료,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,polymeric biomaterials,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,표면 생체기능화,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,surface biofunctionalization,1,1,홍선기,True,True
홍선기,카테콜,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,catechol,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,폴리페놀,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,polyphenol,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,바이오칩,1,3,홍선기 | 이성원 | 서대하,True,True
홍선기,biochip,1,1,홍선기,True,True
홍선기,바이오잉크,1,1,홍선기,True,True
홍선기,bioink,1,1,홍선기,True,True
홍선기,멜라닌 모사,1,1,홍선기,True,True
홍선기,theranostics,1,1,홍선기,True,True
정낙천,금속유기구조체,2,2,박진희 | 정낙천,True,True
정낙천,MOF,2,2,박진희 | 정낙천,True,True
정낙천,metal-organic framework,2,2,박진희 | 정낙천,True,True
정낙천,나노다공성 소재,1,2,정낙천 | 박진희,True,True
정낙천,nanoporous materials,1,2,정낙천 | 박진희,True,True
정낙천,전자 수송,1,2,정낙천 | 김영욱,True,True
정낙천,electron transport,1,2,정낙천 | 김영욱,True,True
정낙천,이온 수송,1,1,정낙천,True,True
정낙천,ion transport,1,1,정낙천,True,True
정낙천,나노공간화학,1,1,정낙천,True,True
정낙천,프로톤 전도,1,1,정낙천,True,True
정낙천,proton conductivity,1,1,정낙천,True,True
정낙천,연료전지 막,1,1,정낙천,True,True
정낙천,fuel-cell membrane,1,1,정낙천,True,True
정낙천,해수담수화 막,3,3,김성균 | 서상원 | 정낙천,True,True
정낙천,supercapacitor MOF,1,2,정낙천 | 박진희,True,True
정병혁,비대칭 합성,1,3,정병혁 | 이성기 | 서상원,True,True
정병혁,asymmetric synthesis,1,3,정병혁 | 이성기 | 서상원,True,True
정병혁,촉매 비대칭 합성,1,3,정병혁 | 이성기 | 서상원,True,True
정병혁,catalytic asymmetric synthesis,1,3,정병혁 | 이성기 | 서상원,True,True
정병혁,합성 방법론,1,1,정병혁,True,True
정병혁,synthetic methodology,1,3,정병혁 | 이성기 | 서상원,True,True
정병혁,의약품 합성,1,1,정병혁,True,True
정병혁,drug synthesis,1,1,정병혁,True,True
정병혁,천연물 합성,1,1,정병혁,True,True
정병혁,natural product synthesis,1,1,정병혁,True,True
정병혁,키랄 촉매,1,5,정병혁 | 이성기 | 서상원 | 김성균 | 박진희,True,True
정병혁,chiral catalyst,1,5,정병혁 | 이성기 | 서상원 | 김성균 | 박진희,True,True
정병혁,구리 촉매,1,5,정병혁 | 이성기 | 서상원 | 김성균 | 박진희,True,True
