"교수명","직접 검색어","해당 교수 순위","상위 5명","결과 수","포함 여부"
"윤동원","자연모사 로봇","1","윤동원 | 송석호","2","Y"
"윤동원","생체모사 로봇","2","송석호 | 윤동원","2","Y"
"윤동원","biomimetic robot","1","윤동원 | 송석호","2","Y"
"윤동원","bioinspired robot","1","윤동원 | 송석호","2","Y"
"윤동원","유연 로봇","1","윤동원 | 김동욱 | 노어진 | 송석호 | 정소현","5","Y"
"윤동원","soft robotics","4","김동욱 | 노어진 | 송석호 | 윤동원 | 정소현","5","Y"
"윤동원","웨어러블 로봇","3","박준혁 | 노어진 | 윤동원 | 이재홍 | 오세훈","5","Y"
"윤동원","wearable robot","2","박준혁 | 윤동원 | 이재홍 | 노어진 | 오세훈","5","Y"
"윤동원","웨어러블 센서","4","이재홍 | 장경인 | 김봉훈 | 윤동원 | 김소희","7","Y"
"윤동원","wearable sensor","4","이재홍 | 장경인 | 김봉훈 | 윤동원 | 김소희","7","Y"
"윤동원","자율 내비게이션","1","윤동원","1","Y"
"윤동원","autonomous navigation","1","윤동원 | 김기섭 | 임용섭","3","Y"
"윤동원","센서 액추에이터","1","윤동원 | 오세훈","2","Y"
"윤동원","sensor actuator","1","윤동원 | 오세훈","2","Y"
"김기섭","SLAM","1","김기섭","1","Y"
"김기섭","동시적 위치추정 및 지도작성","1","김기섭","1","Y"
"김기섭","모바일 로봇","1","김기섭","1","Y"
"김기섭","mobile robotics","1","김기섭 | 임용섭","2","Y"
"김기섭","로봇 인식","1","김기섭 | 임용섭","2","Y"
"김기섭","robot perception","1","김기섭 | 임용섭","2","Y"
"김기섭","3차원 비전","1","김기섭 | 임용섭","2","Y"
"김기섭","3d vision","1","김기섭 | 임용섭","2","Y"
"김기섭","자율주행","1","김기섭 | 임용섭 | 남강현","3","Y"
"김기섭","autonomous driving","1","김기섭 | 임용섭 | 남강현","3","Y"
"김기섭","디지털 트윈","1","김기섭 | 이용석","2","Y"
"김기섭","digital twin","1","김기섭 | 이용석","2","Y"
"김기섭","위치추정","1","김기섭","1","Y"
"김기섭","localization","1","김기섭","1","Y"
"김기섭","지도작성","1","김기섭","1","Y"
"김기섭","mapping","1","김기섭","1","Y"
"김동욱","로봇 모델링","1","김동욱","1","Y"
"김동욱","robot modeling","1","김동욱","1","Y"
"김동욱","로봇 제어","2","오세훈 | 김동욱 | 이성민 | 임용섭 | 황민호","5","Y"
"김동욱","robot control","2","오세훈 | 김동욱 | 이성민 | 임용섭","4","Y"
"김동욱","소프트 로봇","1","김동욱 | 노어진 | 송석호 | 윤동원 | 정소현","5","Y"
"김동욱","soft robotics","1","김동욱 | 노어진 | 송석호 | 윤동원 | 정소현","5","Y"
"김동욱","지능형 로보틱스","1","김동욱","1","Y"
"김동욱","physical intelligent robotics","1","김동욱 | 임용섭","2","Y"
"김동욱","학습 기반 제어","1","김동욱 | 오세훈 | 황민호","3","Y"
"김동욱","learning-based control","1","김동욱 | 오세훈","2","Y"
"김민수","로봇 설계","1","김민수","1","Y"
"김민수","design for robotics","1","김민수 | 임용섭","2","Y"
"김민수","로봇 제조","1","김민수","1","Y"
"김민수","manufacturing for robotics","1","김민수 | 임용섭","2","Y"
"김민수","로봇 생산","1","김민수","1","Y"
"김민수","MEMS","2","김회준 | 김민수 | 김봉훈 | 이재홍 | 장경인","7","Y"
"김민수","NEMS","1","김민수 | 김봉훈 | 김회준 | 이재홍 | 장경인","6","Y"
"김민수","바이오메디컬 로보틱스","1","김민수 | 노어진","2","Y"
"김민수","biomedical robotics","1","김민수 | 박석호 | 노어진 | 윤동원 | 황민호","5","Y"
"김민수","로봇 시스템","1","김민수 | 박경서 | 황민호 | 박준혁 | 이성민","6","Y"
"김봉훈","마이크로로봇","1","김봉훈 | 정소현 | 박석호","3","Y"
"김봉훈","microrobotics","1","김봉훈 | 박석호 | 정소현","3","Y"
"김봉훈","MEMS","3","김회준 | 김민수 | 김봉훈 | 이재홍 | 장경인","7","Y"
"김봉훈","NEMS","2","김민수 | 김봉훈 | 김회준 | 이재홍 | 장경인","6","Y"
"김봉훈","웨어러블 센서","3","이재홍 | 장경인 | 김봉훈 | 윤동원 | 김소희","7","Y"
