school,professor,old_summary_length,new_summary_length,display_summary
DGIST,박진희,102,44,"박진희 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,조창희,80,45,"조창희 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,홍정일,66,44,"홍정일 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,홍선기,73,45,"홍선기 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,허승정,102,44,"허승정 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,정낙천,63,44,"정낙천 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,정병혁,74,50,"정병혁 교수님은 반도체/전자소자, 촉매/전기화학/CO2, 바이오/의생명 분야를 연구합니다."
DGIST,강준구,108,45,"강준구 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,김아람,75,53,"김아람 교수님은 초전도체물리/초전동비정질, 응집물질물리 이론, AI/머신러닝 분야를 연구합니다."
DGIST,김종구,66,44,"김종구 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김성균,93,50,"김성균 교수님은 AI/머신러닝, 반도체/전자소자, 촉매/전기화학/CO2 분야를 연구합니다."
DGIST,김소연,103,45,"김소연 교수님은 반도체/전자소자, 광학/이미징, 화학/소재합성 분야를 연구합니다."
DGIST,김영욱,62,45,"김영욱 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,권상일,87,44,"권상일 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이재동,86,45,"이재동 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,이신범,40,48,"이신범 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,이성기,71,44,"이성기 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이성원,72,48,"이성원 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,문혜원,60,50,"문혜원 교수님은 AI/머신러닝, 반도체/전자소자, 촉매/전기화학/CO2 분야를 연구합니다."
DGIST,남은주,50,45,"남은주 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,박기성,80,45,"박기성 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,서정필,53,45,"서정필 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,서상원,54,44,"서상원 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,성주영,85,45,"성주영 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,유천열,89,45,"유천열 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,권혁준,57,45,"권혁준 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,길현재,139,44,"길현재 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김가인,109,45,"김가인 교수님은 AI/머신러닝, 반도체/전자소자, 뇌/신경과학 분야를 연구합니다."
DGIST,김경대,65,43,"김경대 교수님은 반도체/전자소자, 로봇/제어, 광학/이미징 분야를 연구합니다."
DGIST,김기섭,102,48,"김기섭 교수님은 AI/머신러닝, 광학/이미징, 보안/암호/소프트웨어 분야를 연구합니다."
DGIST,김백규,77,45,"김백규 교수님은 사이버물리 시스템, 사물인터넷, AI/머신러닝 분야를 연구합니다."
DGIST,김선준,70,47,"김선준 교수님은 AI/머신러닝, 반도체/전자소자, HCI/인터랙션 분야를 연구합니다."
DGIST,김영식,139,50,"김영식 교수님은 AI/머신러닝, 반도체/전자소자, 보안/암호/소프트웨어 분야를 연구합니다."
DGIST,김윤승,128,45,"김윤승 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,목지수,92,45,"목지수 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,박경준,98,44,"박경준 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,박대희,125,44,"박대희 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,배인환,119,45,"배인환 교수님은 AI/머신러닝, 반도체/전자소자, 뇌/신경과학 분야를 연구합니다."
DGIST,서대원,86,46,"서대원 교수님은 AI/머신러닝, 반도체/전자소자, 통신/신호처리 분야를 연구합니다."
DGIST,소진현,73,45,"소진현 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,송민영,207,45,"송민영 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,신동훈,110,43,"신동훈 교수님은 반도체/전자소자, 로봇/제어, 광학/이미징 분야를 연구합니다."
DGIST,윤성훈,70,44,"윤성훈 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,윤종혁,136,44,"윤종혁 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,은용순,146,44,"은용순 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이경태,121,48,"이경태 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,이기준,157,45,"이기준 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,이민선,123,45,"이민선 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,이병권,125,45,"이병권 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,이병문,106,54,"이병문 교수님은 차세대 유연성 소자 및 회로, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,이용우,130,46,"이용우 교수님은 AI/머신러닝, 반도체/전자소자, 화학/소재합성 분야를 연구합니다."
DGIST,이정협,79,44,"이정협 교수님은 반도체/전자소자, 광학/이미징, 뇌/신경과학 분야를 연구합니다."
DGIST,이효근,90,46,"이효근 교수님은 보안/암호/소프트웨어, 컴퓨터과학, 컴퓨터시스템 분야를 연구합니다."
DGIST,임성훈,72,44,"임성훈 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,장재은,156,56,"장재은 교수님은 생체 신호 센싱 시스템, 생체 모방 디바이스, 나노 통신 디바이스 분야를 연구합니다."
DGIST,장준기,86,45,"장준기 교수님은 AI/머신러닝, 반도체/전자소자, 뇌/신경과학 분야를 연구합니다."
